ZTF18ablhvfr 0.085000 Ia
58381.141875 2 19.6678 0.162659
58378.1344329 2 19.7131 0.135812
58372.1377662 2 19.4278 0.117917
58369.1336921 2 19.3139 0.120437
58365.1560417 2 19.238 0.100993
58356.2591319 2 18.8474 0.139903
58353.280787 2 18.6777 0.101991
58353.1545718 2 18.6991 0.0879555
58350.1598727 2 18.6428 0.0837878
58344.1843403 2 18.6984 0.0628485
58339.1584838 2 19.0089 0.10752
58336.2043403 2 19.4817 0.122224
