ZTF18abokpvh 0.080000 Ia
58390.2399306 2 19.5615 0.160137
58385.1797454 2 19.4071 0.143749
58384.1646181 2 19.3376 0.15496
58381.1669907 2 19.4128 0.137597
58379.2363889 2 19.2763 0.107403
58378.2385995 2 19.1848 0.115746
58375.1842245 2 19.0429 0.0979184
58373.134213 2 18.8699 0.0816681
58372.3078356 2 18.8716 0.106034
58370.2681944 2 18.7351 0.0862111
58369.1984722 2 18.6421 0.0864493
58367.1575116 2 18.7121 0.076343
58366.3264931 2 18.7054 0.103611
58364.1528819 2 18.7179 0.07731
58363.2226389 2 18.7921 0.0737955
58361.2851157 2 18.8172 0.0816424
58360.3005671 2 18.8106 0.103902
58358.2661343 2 18.8906 0.124882
58357.3002662 2 19.1203 0.140823
58357.1977778 2 19.0626 0.128815
58355.2617593 2 19.3146 0.138583
58354.2361227 2 19.6026 0.212328
