ZTF18acvwdkk 0.023000 II
58541.4185301 1 19.5246 0.2043
58526.456331 1 19.7338 0.222752
58522.4690972 1 19.5994 0.14965
58522.4602778 1 19.7747 0.169371
58511.461956 1 19.6276 0.141756
58507.4883796 1 19.4953 0.308996
58506.5199884 1 19.436 0.366761
58503.5413889 1 19.4884 0.305633
58494.5055903 1 19.6011 0.121285
58491.4974306 1 19.4477 0.122335
58471.5045486 1 19.3844 0.138968
58465.5486343 1 19.8114 0.145757
