ZTF19aauitks 0.098000 Ia
58660.2147454 2 20.09 0.158249
58657.2707407 2 20.0355 0.189282
58654.1929282 2 20.0409 0.182264
58651.2328935 2 19.8108 0.26243
58648.1914815 2 19.8695 0.284485
58642.2327778 2 19.6331 0.145498
58639.1703125 2 19.3746 0.126433
58636.2245255 2 19.1994 0.0852738
58633.2075694 2 19.1137 0.0919999
58628.2872917 2 18.959 0.0891791
58618.2669444 2 19.3216 0.20088
58616.1689236 2 19.624 0.156435
58612.2479282 2 20.3956 0.196623
