ZTF19abxdnzt 0.040000 Ia
58851.5571528 1 20.302 0.211723
58789.1234954 1 19.609 0.41331
58785.1173032 1 19.4182 0.202011
58781.1144444 1 19.1478 0.231917
58778.1199074 1 18.9229 0.122379
58775.1157755 1 18.7959 0.107412
58771.1124421 1 18.4018 0.137331
58760.1412269 1 17.3366 0.0582902
58750.1438542 1 16.7545 0.0423306
58747.14 1 16.6509 0.0354559
58744.1384375 1 16.7263 0.0398908
58741.1348727 1 16.8859 0.04951
58737.1653125 1 17.4204 0.0539909
58734.2058333 1 18.2631 0.107135
