ZTF18abrzbum 0.018300 II
58440.5161458 2 20.2843 0.177429
58437.3921875 2 20.1837 0.190073
58428.4988194 2 20.2163 0.170223
58425.4641435 2 20.2902 0.212773
58397.5276968 2 19.1866 0.0853298
58388.5056134 2 18.9096 0.0952151
58382.5247917 2 18.7593 0.0837099
58378.5127199 2 18.5775 0.0642597
58375.5123727 2 18.5029 0.0659692
58372.5146528 2 18.4985 0.0629004
58369.5068171 2 18.4733 0.0770491
58366.5040972 2 18.4086 0.0581792
58363.4832407 2 18.2899 0.0681565
58360.5130787 2 18.2814 0.0813139
