ZTF19acmbhvv 0.062406 Ia
58941.2019907 2 18.9391 0.14542
58939.1525231 2 19.0852 0.137202
58938.1620602 2 18.816 0.121689
58915.1375926 2 18.1216 0.0708435
58913.1977083 2 18.4217 0.105376
58913.196331 2 18.1288 0.0798249
58912.1797685 2 18.2006 0.0814498
58912.177963 2 18.4686 0.0834726
58909.156875 2 18.5262 0.161729
58909.1177662 2 18.2816 0.127726
58906.2021528 2 18.7168 0.109793
58906.2003472 2 18.8907 0.132256
58903.2016782 2 19.643 0.263958
58903.1858333 2 19.5459 0.191032
58873.1943403 2 19.3645 0.191299
58851.4314005 2 19.8654 0.16043
58846.2902546 2 19.596 0.134339
58778.4934722 2 19.0716 0.238066
