ZTF19aazlpel 0.032500 II
58722.313588 2 18.7577 0.0955712
58719.3704977 2 18.7423 0.119904
58716.3665046 2 18.6338 0.115446
58706.3900926 2 18.5543 0.099356
58701.3785648 2 18.4975 0.079667
58698.3976157 2 18.5991 0.0912002
58695.3368287 2 18.4462 0.0750644
58692.3345255 2 18.4098 0.0715236
58686.3549306 2 18.3659 0.0950789
58679.4807986 2 18.3487 0.0742894
58676.4807523 2 18.3449 0.0656372
58673.4434144 2 18.397 0.094599
58670.480081 2 18.3906 0.0868899
58667.48125 2 18.3773 0.0715267
58661.4212963 2 18.3289 0.0937232
