ZTF20aarucek 0.070000 Ia
58944.4913657 1 20.3932 0.307673
58941.4913194 1 20.1355 0.183414
58940.4905093 1 20.0529 0.179037
58936.489294 1 19.8304 0.144571
58914.4459259 1 18.2786 0.124515
58913.530787 1 18.3702 0.0946422
58912.5322222 1 18.3604 0.0671717
58908.5493519 1 18.7903 0.0990316
58908.5493519 1 18.7903 0.099032
58903.5302894 1 20.3962 0.242477
