ZTF18abcrxoj 0.031000 Ia
58369.1303472 2 19.2692 0.132677
58365.155081 2 19.049 0.105334
58362.1591551 2 18.9921 0.0698297
58359.2400579 2 18.8503 0.120006
58356.2171875 2 18.7419 0.10584
58353.2335069 2 18.7756 0.111431
58353.1621528 2 18.6934 0.0778191
58350.1536111 2 18.5666 0.103858
58346.1759606 2 18.481 0.0598236
58343.1609722 2 18.2651 0.0547205
58339.1569907 2 18.1285 0.0640016
58336.2141898 2 17.9709 0.0514981
58330.3012616 2 17.4832 0.0570114
58327.2768171 2 17.3074 0.0552879
58324.1765856 2 17.2635 0.0449024
58320.258125 2 17.3238 0.0388922
58314.1789236 2 16.9333 0.0457241
58311.2041204 2 16.644 0.0394286
58308.2383912 2 16.5655 0.0397737
58299.3486458 2 17.0094 0.0509381
58296.2451157 2 17.6144 0.0455442
58293.2660069 2 18.8944 0.0996163
