ZTF19aarfyvc 0.090000 Ic
58644.2260764 1 20.6696 0.368696
58641.2255903 1 20.3942 0.244964
58638.3310185 1 20.1346 0.183711
58635.2253241 1 19.8941 0.133217
58632.3510301 1 19.8031 0.17866
58619.2863079 1 19.0571 0.266071
58616.2857523 1 18.8722 0.112004
58612.3030324 1 18.9383 0.099813
58606.4221412 1 18.9791 0.0704217
58596.453206 1 19.8822 0.193865
