ZTF19aaxfcpq 0.038003 Ic-BL
58691.2069213 2 20.1246 0.149695
58681.2658796 2 19.6893 0.208166
58678.2264931 2 19.6726 0.168147
58672.21625 2 19.174 0.09507
58669.3183796 2 19.0342 0.0811649
58666.2636111 2 18.7661 0.0873791
58663.3122338 2 18.4962 0.0664531
58660.2450347 2 18.2655 0.0631522
58657.2632639 2 18.0584 0.0556333
58653.2035185 2 17.874 0.0578447
58650.2711227 2 17.7883 0.0588326
58647.2612616 2 17.8627 0.0593473
58644.2856134 2 17.9705 0.0487779
58641.3054167 2 18.5328 0.0648585
58638.2798495 2 19.726 0.16503
