ZTF18abnygkb 0.070000 Ia
58760.2746991 2 19.7975 0.201499
58757.2755556 2 19.965 0.182385
58747.2547454 2 20.0997 0.218098
58718.3739005 2 19.9246 0.180566
58674.4614931 2 19.6739 0.167917
58665.4390856 2 20.156 0.178556
58640.4646296 2 19.9217 0.202584
58608.4851968 2 20.1116 0.200537
58382.2975463 2 19.5665 0.205672
58375.3417593 2 19.2923 0.106992
58372.299838 2 19.1592 0.100475
58369.3662963 2 18.9872 0.089685
58366.3193981 2 18.7088 0.0611257
58363.2711227 2 18.6241 0.100622
58360.2963426 2 18.5578 0.077903
58357.3084838 2 18.7955 0.126464
58352.2975694 2 19.629 0.210413
