ZTF19aamtwiz 0.044680 II
58674.2188773 2 19.9278 0.215686
58671.2025694 2 19.8301 0.310441
58665.2687037 2 19.6255 0.136478
58660.2218171 2 19.6177 0.130466
58657.2689005 2 19.784 0.220699
58654.1962384 2 19.5631 0.150708
58651.2480787 2 19.4047 0.188211
58648.1928819 2 19.6173 0.191731
58642.2342477 2 19.4409 0.141056
58639.1804977 2 19.3955 0.117528
58636.2216319 2 19.4745 0.114337
58633.1984259 2 19.4346 0.137014
58628.3255787 2 19.3503 0.116194
58616.1702894 2 19.3247 0.135369
58608.2597569 2 19.1049 0.11746
58606.269838 2 19.1507 0.1245
58606.2131481 2 19.1421 0.110761
58597.3512616 2 19.0797 0.0822615
58594.3329167 2 19.1399 0.165375
58593.2900463 2 18.9997 0.12578
58591.382581 2 18.9843 0.152833
58587.3073843 2 19.0296 0.107033
58584.3123727 2 18.955 0.0930212
58582.2482292 2 18.9513 0.0735786
58580.3502662 2 18.8232 0.0694907
58580.3165046 2 18.8495 0.1101
58575.3927894 2 18.8673 0.0922137
58572.2997338 2 18.8703 0.11482
58567.396412 2 18.8974 0.0923421
58562.3579282 2 19.2888 0.298351
