ZTF19aazlsfj 0.070000 Ia
58694.4246181 1 21.1826 0.284372
58674.4252431 1 19.6012 0.110109
58668.4418287 1 18.945 0.0900392
58665.4807639 1 18.6452 0.066393
58661.4608796 1 18.4751 0.0704067
58658.4597106 1 18.3808 0.0840475
58653.3767361 1 18.6739 0.148972
58650.4592593 1 19.0761 0.122071
58647.4651389 1 19.8634 0.155691
