ZTF19acjwdnu 0.053000 II
58863.0874884 2 19.3664 0.137444
58859.1503125 2 19.3533 0.200594
58835.0727083 2 18.7406 0.238769
58831.0847685 2 18.9004 0.107635
58814.1674306 2 18.8139 0.279934
58811.1466782 2 18.6593 0.0869406
58805.2109722 2 18.5663 0.0928985
58798.2107523 2 18.2772 0.105748
58794.3010764 2 18.2122 0.069926
58791.3417824 2 18.3193 0.0770113
58790.2053704 2 18.3125 0.0730191
58788.2514005 2 18.3705 0.080435
