ZTF20aatqief 0.080000 Ia
58971.2723148 1 19.7926 0.266691
58968.2952546 1 19.6795 0.140258
58968.2952546 1 19.6795 0.140258
58965.252581 1 19.4197 0.115653
58962.3395255 1 19.2477 0.107257
58955.3148727 1 18.6713 0.0873588
58941.4410069 1 18.4112 0.0805944
58940.3565278 1 18.3059 0.160812
58939.3340046 1 18.5809 0.112628
58937.3906366 1 18.759 0.0737066
58936.3101968 1 18.8666 0.0849747
