ZTF19aavhypb 0.068000 Ia
58691.1728356 2 19.9867 0.183183
58682.2403472 2 20.0928 0.320824
58682.2398727 2 19.6393 0.222181
58679.2194097 2 19.7699 0.18311
58679.2189352 2 19.6291 0.185341
58676.2153472 2 19.5152 0.173626
58676.2058102 2 19.3294 0.113497
58670.3098148 2 19.107 0.106318
58670.3055787 2 19.1857 0.114946
58667.2179167 2 19.1066 0.098418
58663.2027315 2 18.9897 0.139492
58663.201794 2 18.9022 0.0868648
58660.2389583 2 18.8896 0.0885026
58657.2618634 2 18.9452 0.100744
58653.1924421 2 18.752 0.074194
58650.2646991 2 18.6064 0.0913425
58650.2618866 2 18.6779 0.105519
58647.2903819 2 18.4103 0.0888179
58647.2425116 2 18.3221 0.0680994
58644.266956 2 18.1729 0.0708161
58644.2635069 2 18.2081 0.0665394
58641.3082523 2 18.0839 0.0546767
58638.2565394 2 18.0163 0.0643921
58638.2401736 2 18.0134 0.044517
58635.2607755 2 18.0269 0.0347835
58635.2579745 2 18.069 0.0660521
58632.2814931 2 18.1249 0.0547531
58632.2661921 2 18.1695 0.0734235
58628.3172801 2 18.5132 0.111227
58628.2958218 2 18.566 0.0667912
