ZTF19abzhvxk 0.083000 Ia
58790.1220255 2 19.5952 0.175843
58785.1033796 2 19.6602 0.135762
58782.1192708 2 19.4493 0.17192
58779.0878935 2 19.3509 0.164636
58770.1933102 2 19.3282 0.30808
58767.1120139 2 19.0795 0.155583
58764.1165278 2 18.8588 0.0916229
58754.1308449 2 18.4966 0.0699048
58751.1358218 2 18.6851 0.0745868
58744.1184259 2 19.7254 0.141283
