ZTF18aawmxdx 0.042500 Ia
58494.4568519 2 18.5055 0.0745471
58493.4709606 2 18.423 0.0804702
58492.4430671 2 18.2081 0.0969903
58486.4774421 2 18.2679 0.0802119
58481.4366088 2 18.0159 0.0560926
58480.4534028 2 17.9915 0.0638268
58476.4400347 2 17.6078 0.0457886
58474.4755093 2 17.5539 0.0509949
58471.5246296 2 17.5561 0.0560129
58468.496794 2 17.6659 0.0583051
58464.5417477 2 18.0191 0.0584673
