ZTF19abangub 0.083000 Ia
58694.2128819 1 19.6062 0.163662
58690.1979745 1 19.2412 0.112646
58686.1796644 1 18.9038 0.0891207
58683.1770255 1 18.6592 0.0797484
58680.1765625 1 18.5241 0.102258
58677.1833681 1 18.3256 0.0762069
58674.2011458 1 18.2318 0.0627991
58668.193287 1 18.2594 0.0475056
58661.2271644 1 19.173 0.087125
58658.2052894 1 20.1956 0.134721
