ZTF18abupiap 0.100000 Ia
58764.3763194 1 20.1065 0.212659
58760.3764352 1 20.0935 0.260888
58751.39875 1 20.2107 0.267584
58725.4594907 1 20.1665 0.185359
58722.4600116 1 20.2852 0.225166
58698.4614815 1 19.8738 0.24366
58487.1750231 1 20.0291 0.178819
58428.3127546 1 20.6578 0.216241
58382.3836343 1 19.447 0.170573
58378.4432755 1 19.136 0.101783
58375.4387384 1 19.0918 0.115239
58372.4387616 1 19.1293 0.102446
