ZTF20aaknzba 0.110000 Ia
58914.5090394 2 20.0453 0.190723
58911.4617477 2 19.7994 0.176965
58904.4973727 2 19.6515 0.129889
58901.4369213 2 19.4822 0.131213
58898.5002894 2 19.4086 0.117867
58893.5020718 2 19.1008 0.116226
58890.4601273 2 18.9854 0.174651
58887.5419676 2 19.2327 0.132298
58875.5257407 2 20.8456 0.316596
