ZTF19aatvlfl 0.066000 Ia
58663.4201273 2 19.8701 0.169548
58662.4687963 2 20.0099 0.151212
58652.4209954 2 19.4446 0.234413
58646.4612616 2 19.1856 0.117118
58643.4794329 2 19.1439 0.105115
58640.4628125 2 18.9834 0.096166
58637.4222685 2 18.9069 0.100096
58634.422338 2 18.8568 0.0865283
58607.4849074 2 18.9145 0.0986907
