ZTF19abgrcxs 0.082000 Ia
58730.421794 2 20.5165 0.212178
58726.3802662 2 20.3195 0.21171
58723.3867361 2 20.2643 0.150265
58721.4582523 2 19.8367 0.196558
58718.4631366 2 19.8701 0.188385
58717.4754861 2 19.7629 0.234328
58712.4421296 2 19.678 0.228389
58712.4223958 2 19.5818 0.239158
58709.4136227 2 19.5378 0.143911
58709.4131713 2 19.5797 0.199436
58706.5002546 2 19.4365 0.109979
58706.4984375 2 19.3307 0.132802
58703.4567477 2 19.2412 0.0910478
58703.4562963 2 19.2396 0.103067
58700.4424421 2 19.1583 0.103106
58699.4838079 2 19.0438 0.0726883
58697.4248495 2 18.9887 0.0846948
58696.4775231 2 19.064 0.0679467
58694.4982176 2 18.8067 0.0692486
58693.4668287 2 18.905 0.0613971
58691.4339815 2 18.8475 0.106109
58690.4260301 2 18.9291 0.0978297
58685.4585648 2 19.2744 0.13624
58685.4468403 2 19.2016 0.122634
58682.4264931 2 19.5869 0.176555
58682.4224306 2 19.5652 0.173427
