ZTF18acrgunw 0.065000 Ia
58493.4558333 2 19.3413 0.0995686
58486.4728009 2 19.1518 0.102682
58481.4397338 2 19.2188 0.119634
58480.4512847 2 19.1131 0.114807
58472.4138542 2 18.663 0.0888098
58471.5293287 2 18.6664 0.0921023
58464.5266667 2 18.3196 0.0614162
58461.5235069 2 18.2998 0.0869211
58455.4808912 2 18.4628 0.0811558
