ZTF18accjdgs 0.082800 Ia
58811.1662037 2 19.6 0.17585
58811.1284375 2 19.686 0.271007
58811.1275231 2 19.2483 0.147768
58806.2284259 2 19.5906 0.212135
58803.3093403 2 19.5161 0.243669
58801.2658102 2 19.0688 0.231915
58799.2132639 2 18.9076 0.170054
58796.1081944 2 18.7831 0.18106
58794.1213426 2 18.7675 0.137848
58793.1055093 2 19.3705 0.198622
58792.1827199 2 19.032 0.123877
58792.1772338 2 19.0369 0.124411
58791.1091667 2 18.8384 0.103375
58790.1616551 2 18.8873 0.0974251
58789.1317708 2 18.8199 0.113693
58788.2120949 2 18.8168 0.105074
58788.1313889 2 18.9324 0.15301
58787.1305093 2 18.7503 0.170677
58786.138125 2 18.6741 0.113735
58785.1312616 2 18.5463 0.112034
58783.1316435 2 18.627 0.117787
58782.1304282 2 18.6864 0.13246
58781.2468519 2 18.677 0.121979
58781.131331 2 18.6608 0.138993
58778.1316435 2 18.4847 0.104079
58777.2011921 2 18.5085 0.0813025
58777.1314583 2 18.474 0.132905
58776.1310532 2 18.5855 0.102743
58775.1312731 2 18.5862 0.0920975
58774.2010764 2 18.5938 0.0918542
58774.1315509 2 18.5291 0.101182
58773.1312384 2 18.6447 0.169441
58772.1313426 2 18.6885 0.128989
58771.2705556 2 18.691 0.130291
58771.1311574 2 18.5676 0.160159
58768.1305671 2 18.7734 0.165905
58767.205706 2 18.8126 0.225158
58766.1301736 2 18.9813 0.241936
58764.4140625 2 19.3317 0.144385
58425.2286227 2 19.0287 0.159122
