ZTF19abyjhpz 0.096000 Ia
58766.4685417 1 19.7406 0.160801
58763.4714236 1 19.4943 0.119261
58759.4669907 1 19.0885 0.109629
58756.4503704 1 18.9368 0.105381
58751.4847685 1 18.7211 0.0880866
58748.5082639 1 18.7512 0.093757
58745.5121759 1 18.6817 0.103927
58742.5098958 1 18.7445 0.155309
58739.508044 1 18.9942 0.149832
58736.4889815 1 19.6693 0.144854
