ZTF18acspjqd 0.080000 Ia
58507.2524074 2 19.9489 0.168867
58490.2222338 2 19.2528 0.105997
58486.4437153 2 19.1406 0.103549
58480.321956 2 19.0655 0.153348
58474.3287037 2 18.7103 0.123649
58471.2679977 2 18.4265 0.119821
58464.3068981 2 18.6841 0.106916
58461.5131713 2 18.5842 0.0742583
58455.4931481 2 19.062 0.143839
