ZTF20aadvaoi 0.090000 Ia
58881.1793056 1 19.719 0.24621
58881.1784028 1 19.6379 0.174081
58879.1810648 1 19.375 0.153509
58879.1459028 1 19.2652 0.409427
58876.2255671 1 19.2445 0.107683
58876.2255671 1 19.2432 0.106302
58876.2020602 1 19.2614 0.1036
58876.2020602 1 19.2661 0.10347
58876.200706 1 19.2669 0.131825
58876.200706 1 19.2661 0.13107
58867.2165856 1 18.8856 0.084366
58867.2161343 1 18.9042 0.135113
58867.2152083 1 18.9014 0.0791427
58864.198206 1 18.9341 0.098716
58864.1837963 1 18.8441 0.078594
58864.1824074 1 18.8956 0.080689
58864.1716551 1 18.8563 0.081218
58864.1712037 1 18.8834 0.103064
58864.166875 1 18.9094 0.125031
58863.163831 1 19.0519 0.120936
58863.1619329 1 18.9313 0.205812
58862.434294 1 18.9473 0.181652
58861.1163426 1 19.1417 0.133207
58861.1158912 1 18.9891 0.174136
58861.1109144 1 19.0456 0.108164
58860.1179051 1 19.1768 0.243712
58860.1174537 1 19.0671 0.183885
58859.1412153 1 19.2118 0.164162
58859.1343866 1 19.0934 0.18833
58856.1173727 1 19.5617 0.277326
58854.490463 1 20.0084 0.332995
58853.4671065 1 20.4628 0.205576
58853.4657176 1 20.4102 0.225361
58853.4510301 1 20.2825 0.205446
58852.4690625 1 20.8858 0.301161
