ZTF20aabqisb 0.051300 Ia
58912.4729167 2 20.3433 0.205478
58908.4898611 2 20.3904 0.282419
58908.4893519 2 20.1748 0.214633
58904.5317245 2 20.0981 0.213761
58903.5121528 2 20.0735 0.209159
58903.4615046 2 19.8417 0.163156
58900.4882292 2 19.8582 0.214508
58899.4823032 2 19.6855 0.130417
58899.4813542 2 19.7556 0.158336
58898.5324769 2 19.6226 0.096914
58898.5306481 2 19.7018 0.164466
58895.4902083 2 19.51 0.139343
58895.4883102 2 19.5569 0.192094
58894.5381134 2 19.4566 0.149895
58894.5340625 2 19.484 0.120511
58893.5459144 2 19.4333 0.131635
58893.5445255 2 19.3667 0.111161
58892.5319329 2 19.4437 0.16251
58890.4895255 2 19.0798 0.316849
58887.5476273 2 19.2054 0.144708
58887.5245718 2 19.2435 0.132139
58886.5556829 2 19.2769 0.152364
58886.5534028 2 19.2831 0.115458
58885.5458449 2 19.1625 0.11216
58885.5404398 2 19.182 0.107484
58883.5557755 2 19.148 0.153278
58881.5531597 2 19.0836 0.114124
58881.5512616 2 19.1956 0.110096
58880.5387963 2 18.9818 0.0848362
58880.5368981 2 19.0589 0.101135
58879.5370139 2 19.0482 0.191327
58878.5723495 2 18.9155 0.137197
58878.5700231 2 19.0967 0.149351
58877.5168056 2 19.14 0.121532
58877.5149653 2 19.0139 0.107402
58876.5564583 2 19.0068 0.091627
58876.5555208 2 19.0534 0.0857567
58875.5470833 2 19.0576 0.126856
58875.5456944 2 19.0784 0.125577
58873.5323032 2 18.9398 0.139342
58873.5142477 2 18.9062 0.0847386
58872.5671875 2 18.933 0.0883093
58871.5311921 2 18.8779 0.144975
58866.5349074 2 18.534 0.07346
58866.5330208 2 18.5704 0.0758908
58864.5148611 2 18.5435 0.0761259
58859.491412 2 18.6098 0.110477
58854.5765394 2 18.7394 0.192902
58854.5751505 2 18.9478 0.231843
58852.5599306 2 18.882 0.0958678
58852.5585417 2 18.9424 0.0875962
58850.5118056 2 19.1533 0.126057
