ZTF19acordoi 0.089000 Ia-91T
58812.0977662 2 18.9496 0.127777
58811.1236227 2 18.8559 0.130252
58805.0808565 2 18.7873 0.151714
58797.0951736 2 18.8144 0.115888
58796.1025 2 18.9868 0.147927
58795.0991319 2 19.1545 0.152399
58794.1035069 2 19.3596 0.213947
58793.0988889 2 19.3569 0.20638
58790.1143056 2 20.0527 0.287489
