ZTF18abjrfqx 0.040000 Ia
58371.2549884 1 20.3313 0.18244
58368.2695486 1 20.2792 0.194067
58365.2951273 1 19.985 0.135337
58352.3806829 1 18.6241 0.0888993
58349.3602083 1 18.3391 0.0595673
58346.3542593 1 18.052 0.0484162
58343.3947801 1 17.8504 0.0554353
58340.3386458 1 17.7775 0.0601033
58337.3954051 1 17.6904 0.0439526
58334.3291319 1 17.8208 0.0573476
