ZTF20aaazjwc 0.042200 II
58911.5415856 1 20.2218 0.368773
58908.5430093 1 19.5303 0.309476
58904.5484028 1 19.7149 0.198664
58895.5427546 1 19.0212 0.146449
58891.4773727 1 18.7754 0.158466
58885.4640856 1 18.5903 0.22658
58879.5028356 1 18.4197 0.118536
58876.5407755 1 18.309 0.089426
58876.5407755 1 18.3076 0.089548
58854.5600231 1 17.9077 0.075469
58851.5483681 1 17.8485 0.135655
