ZTF18absldfl 0.040000 II
58490.1551736 2 20.4251 0.17524
58461.2667593 2 20.0937 0.167578
58455.3014352 2 19.9946 0.158912
58447.3491435 2 19.7411 0.183501
58437.3014236 2 19.2853 0.0827124
58434.199537 2 19.1513 0.112023
58431.1969097 2 19.1418 0.165024
58428.2640625 2 19.023 0.0923581
58425.2746991 2 18.9658 0.0903001
58422.3216204 2 18.8916 0.075087
58397.407037 2 18.7302 0.0625073
58388.2785301 2 18.6847 0.0827324
58385.3240278 2 18.5837 0.0761731
58382.4885764 2 18.6379 0.0503971
58379.413206 2 18.5141 0.0768961
58373.474294 2 18.3416 0.0603231
58370.4225231 2 18.3424 0.0598297
58367.3917477 2 18.4393 0.0671115
58364.3809028 2 18.9942 0.0686687
