ZTF19aavounq 0.076300 Ia
58672.1816551 1 20.1418 0.264173
58663.2122569 1 19.292 0.12462
58657.2110185 1 18.7324 0.0866178
58654.2513194 1 18.5518 0.0931174
58650.1917477 1 18.4207 0.11096
58644.2089699 1 18.2358 0.0826154
58643.20875 1 18.326 0.0940009
58641.2093403 1 18.4159 0.085706
58638.3167824 1 18.7344 0.0811906
58635.2123843 1 19.24 0.115964
58634.2503356 1 19.4673 0.128212
58632.3416782 1 20.1239 0.179398
