ZTF18aazcoob 0.088000 Ia
58337.330706 2 20.0926 0.167499
58334.3574769 2 20.1346 0.169431
58331.2218519 2 19.9837 0.178373
58322.2827431 2 19.4819 0.113474
58316.2435995 2 19.2206 0.143383
58310.3935301 2 19.0458 0.138675
58300.3401389 2 18.6463 0.070044
58297.328831 2 18.6074 0.0880565
58293.3094213 2 18.7045 0.0767938
58290.3320139 2 18.8223 0.0719305
58287.2677662 2 19.0426 0.0617805
58284.3496181 2 19.2766 0.0868512
58281.3422222 2 19.9478 0.133272
