ZTF20aaerqjd 0.090000 Ia
58908.490787 2 20.3311 0.199209
58906.5108681 2 19.9697 0.248849
58904.5284144 2 19.9935 0.19531
58903.5102083 2 19.8596 0.127513
58899.5075579 2 19.7061 0.144942
58898.5156713 2 19.6203 0.124546
58893.5315162 2 19.4684 0.122409
58887.5447917 2 19.3035 0.166088
58884.5446065 2 19.1358 0.129933
58881.5540856 2 19.0753 0.105028
58878.5527199 2 18.9009 0.112316
58875.5509491 2 18.8508 0.104384
58872.5681481 2 18.7171 0.0692447
58864.5074306 2 18.744 0.159343
58861.5472569 2 19.2979 0.212941
58856.5689236 2 20.2634 0.273699
