ZTF19accbeju 0.053000 II
58814.2041088 2 19.4573 0.152843
58814.1925116 2 19.5239 0.199593
58812.2016088 2 19.5823 0.160728
58812.1911111 2 19.5584 0.140258
58806.2443519 2 19.4265 0.159923
58804.3523958 2 19.2475 0.154968
58804.2276042 2 19.2999 0.151286
58801.2786111 2 19.092 0.226952
58796.2955671 2 19.2043 0.114877
58795.2949884 2 19.2626 0.136873
58794.296412 2 19.2299 0.130894
58793.3681829 2 19.0967 0.0955119
58792.359537 2 19.2502 0.145682
58791.3565856 2 19.1554 0.098084
58789.2687963 2 19.2437 0.150441
58788.2801273 2 19.1358 0.148802
58782.3254514 2 19.0837 0.131262
58779.2954282 2 18.9866 0.0982793
58776.28375 2 18.9127 0.0879727
58773.2934838 2 18.6322 0.108881
58766.4935069 2 18.7068 0.0662393
58763.3741319 2 18.8699 0.0771947
58759.3720833 2 19.4609 0.0994186
