ZTF20aaepsqa 0.047170 Ia
58896.1399653 2 19.952 0.161064
58890.1492245 2 19.5096 0.184407
58887.1283796 2 19.3355 0.138168
58884.1481019 2 19.3385 0.209037
58880.1663079 2 19.0321 0.13404
58877.1435532 2 19.0406 0.093813
58873.2034375 2 18.8491 0.0738227
58862.197338 2 18.5894 0.0703872
58861.1737037 2 18.5483 0.0888462
58860.1828588 2 18.6603 0.100709
58859.1897222 2 18.8006 0.110555
58856.1679398 2 19.1624 0.127093
