ZTF19aaozplq 0.100000 Ia
58616.2593981 1 20.2332 0.411888
58612.2868403 1 20.045 0.164042
58606.384456 1 19.4212 0.108813
58600.2390856 1 19.0008 0.105713
58596.2347569 1 18.8106 0.0885336
58592.4241204 1 18.6271 0.154027
58586.4038426 1 18.8688 0.0852137
58583.3937269 1 19.2268 0.132355
58580.3048843 1 19.7573 0.166007
