ZTF19aatgsdl 0.080000 Ia
58658.1946412 1 20.7148 0.323218
58639.2241088 1 19.8712 0.125811
58636.242338 1 19.6154 0.124624
58633.2424653 1 19.2665 0.0894254
58628.1977546 1 18.7558 0.0774171
58622.1587384 1 18.519 0.161099
58619.2358565 1 18.3837 0.116491
58608.2783796 1 18.7727 0.0816877
58605.235706 1 19.19 0.0949688
