ZTF19aauplxw 0.087000 Ia
58642.2975 1 20.1386 0.135372
58642.297037 1 20.1592 0.138427
58639.2308449 1 20.0136 0.145253
58636.2740046 1 19.5479 0.0959665
58636.2735417 1 19.5108 0.11961
58633.2514699 1 19.2986 0.0971424
58633.2510185 1 19.1979 0.0999861
58619.2713426 1 18.9806 0.23164
58619.2704167 1 18.8481 0.1787
58616.2718287 1 19.2208 0.130645
58616.2510532 1 19.2083 0.114788
