ZTF18aawjywv 0.040000 Ia
58296.2919907 2 18.9343 0.116091
58293.3057639 2 18.5393 0.0828207
58290.3658102 2 18.3628 0.068928
58287.3248958 2 18.3438 0.0543692
58284.3260764 2 18.3055 0.0589507
58281.3371644 2 18.1335 0.043277
58278.3208796 2 18.0266 0.0410216
58272.5 2 17.7378 0.0341278
58269.25 2 17.7051 0.0406639
