ZTF19abwsecm 0.022000 Ia
58790.3155787 1 19.7823 0.226996
58769.4812963 1 18.9178 0.199142
58766.4201736 1 18.4767 0.0937739
58763.4121991 1 18.2399 0.0847004
58756.419375 1 17.601 0.0484562
58749.4177083 1 17.1114 0.0493216
58746.5220833 1 16.9897 0.0479966
58738.459919 1 17.0465 0.0472828
58735.4598958 1 17.3126 0.0474936
58732.4384722 1 17.742 0.0623111
58725.4618056 1 19.9479 0.162322
