ZTF19aajxwnz 0.015000 Ia
58766.4703819 1 20.3356 0.183687
58766.4336921 1 20.1822 0.226567
58763.4663542 1 20.2175 0.210574
58763.4466088 1 20.6111 0.280682
58759.4299421 1 20.3075 0.195472
58756.4480208 1 20.5751 0.26662
58756.4305208 1 20.2257 0.234035
58747.5076273 1 20.0202 0.206438
58744.5080671 1 20.0648 0.24417
58738.4451273 1 20.1522 0.313467
58735.4705671 1 20.0809 0.193291
58735.4534954 1 19.9872 0.173072
58732.4300694 1 19.801 0.134438
58732.4291551 1 19.951 0.209606
58727.4750347 1 19.9672 0.255587
58725.4694792 1 19.9373 0.156954
58724.4753009 1 19.9823 0.182934
58722.467963 1 19.821 0.127484
58719.4939468 1 19.682 0.287733
58717.4465509 1 19.5766 0.206608
58713.49625 1 19.6205 0.170955
58705.4852083 1 19.8735 0.167829
58698.4737731 1 19.6309 0.144844
58608.1793403 1 18.2371 0.0672053
58608.1788426 1 18.2866 0.0894855
58602.1978356 1 18.152 0.0716112
58602.1969213 1 18.2879 0.0716862
58599.2068519 1 18.172 0.0831652
58598.1997801 1 18.1538 0.0800064
58596.1782292 1 18.1437 0.0687503
58592.1442361 1 18.021 0.0737861
58591.1599421 1 18.0372 0.0727929
58587.1824537 1 17.9055 0.0722165
58587.1797338 1 17.9296 0.0698108
58584.2006944 1 17.8204 0.076282
58584.1970139 1 17.845 0.0582259
58581.1961806 1 17.735 0.0796891
58581.193831 1 17.7033 0.0703814
58575.1777546 1 17.2886 0.0917658
58572.1587731 1 17.0779 0.052421
58567.177963 1 16.6761 0.0321628
58567.1556829 1 16.6969 0.0400924
58562.198287 1 16.251 0.0333992
58562.169919 1 16.2887 0.0298165
58559.1597569 1 15.9894 0.0273336
58559.1411343 1 15.9982 0.0286221
58556.1335301 1 15.753 0.025598
58547.2621644 1 15.3494 0.0315002
58547.2584954 1 15.3365 0.0306246
58538.3282523 1 15.5735 0.0366781
58534.2429861 1 16.1712 0.0432186
58534.2424884 1 16.3016 0.0503275
