ZTF19abkfmjp 0.100800 II
58765.2718866 1 19.8053 0.30073
58760.3350926 1 19.8439 0.230379
58749.3190856 1 19.6975 0.206713
58736.439213 1 19.7738 0.187379
58733.4398727 1 19.5068 0.191294
58726.406331 1 19.5504 0.172494
58723.3975926 1 19.6941 0.165089
58720.4222454 1 19.4849 0.165886
58717.4083102 1 19.5641 0.242468
58708.4381944 1 19.4996 0.237635
58705.480787 1 19.5532 0.148036
58701.4392361 1 19.4844 0.17018
58698.4395255 1 19.4081 0.150068
58694.4592477 1 19.0415 0.127488
