ZTF19aayqait 0.069000 Ia
58674.344375 1 20.6137 0.220597
58668.3060185 1 19.7758 0.136131
58668.2834722 1 19.9358 0.142464
58665.2440509 1 19.4455 0.0936517
58665.2356713 1 19.4451 0.114174
58663.4538079 1 19.3958 0.14489
58663.4533449 1 19.2569 0.13758
58662.4345602 1 19.1484 0.105193
58661.4529861 1 19.0833 0.109633
58661.4525231 1 19.0632 0.122968
58660.3496644 1 18.9679 0.0997728
58660.348287 1 18.9834 0.081905
58658.4526505 1 18.8991 0.0857941
58658.4521759 1 18.7932 0.106086
58657.4533218 1 18.7314 0.0838519
58657.4528472 1 18.7621 0.101093
58655.2968519 1 18.6738 0.120275
58655.2911227 1 18.7279 0.124308
58654.323044 1 18.588 0.0990898
58653.3650463 1 18.6748 0.113558
58653.3645833 1 18.5717 0.0981406
58650.4671644 1 18.6989 0.115714
58647.3831481 1 18.9951 0.139251
58647.3813194 1 19.0245 0.118381
58644.4331481 1 19.545 0.137967
58644.4304282 1 19.5045 0.136867
58641.4286227 1 20.5936 0.234737
