ZTF19abirbpd 0.070000 Ia
58735.3914699 2 20.1 0.145399
58732.4663194 2 19.8266 0.130114
58727.4872106 2 19.5927 0.095441
58724.4153009 2 19.4465 0.0962979
58718.4764583 2 19.2431 0.0866707
58715.4289815 2 18.9954 0.10767
58712.4261227 2 18.8904 0.117916
58706.4067593 2 18.7222 0.0680618
58703.42875 2 18.7383 0.0622384
58699.3823032 2 18.8833 0.065149
58696.4769907 2 19.0877 0.0701623
58693.4683333 2 19.4123 0.0754078
58690.4366667 2 19.8251 0.144944
