ZTF20aaybvye 0.076000 Ia
58987.349456 2 18.5251 0.0584097
58986.305162 2 18.5186 0.0647589
58985.4016551 2 18.529 0.0698314
58981.4093056 2 18.7051 0.0809371
58980.3171759 2 18.798 0.0819656
58979.3311458 2 18.8278 0.108982
58978.3014815 2 19.1145 0.118608
58976.3494329 2 19.1978 0.169551
58974.3479398 2 19.6949 0.173523
58971.3935764 2 20.7535 0.303388
