ZTF18abslxhz 0.130000 Ia
58388.1857755 2 19.8678 0.200923
58379.2483565 2 19.6257 0.140692
58378.2288194 2 19.618 0.163735
58376.1710764 2 19.5564 0.104681
58373.1729977 2 19.6016 0.132632
58370.166331 2 19.8138 0.152035
58369.2042477 2 19.7761 0.134106
58367.1925231 2 20.0657 0.158021
58364.1464583 2 20.2295 0.191485
