ZTF20aaxuwuh 0.070300 Ia
58985.2871065 2 18.6014 0.0647512
58981.2884954 2 18.6672 0.100077
58980.2759491 2 18.6873 0.0661891
58979.3196296 2 18.8655 0.123719
58978.2826736 2 18.8467 0.0990844
58976.3185995 2 18.8765 0.155586
58976.3033449 2 18.8278 0.131115
58975.3855324 2 18.9638 0.115532
58974.319838 2 19.1643 0.17186
58974.2783218 2 19.221 0.157274
58972.4039699 2 19.5384 0.200454
58971.4159954 2 19.914 0.168601
58970.3984491 2 20.205 0.1985
