ZTF18aazcoob 0.088000 Ia
58316.3651505 1 20.0098 0.210649
58313.2460185 1 19.8268 0.144974
58300.4527662 1 18.7047 0.10289
58297.2431366 1 18.5579 0.0979175
58293.3507523 1 18.5859 0.0838644
58290.2434722 1 18.7743 0.0857536
58284.3704051 1 18.9698 0.180612
58281.282581 1 19.8955 0.113265
58278.3709375 1 20.5241 0.18648
