ZTF20aaazjwc 0.042200 II
58914.5396065 2 19.5821 0.150524
58911.5191435 2 19.4666 0.178429
58908.5165856 2 19.2289 0.133489
58904.5372222 2 19.1993 0.154291
58899.5176852 2 18.8874 0.120598
58895.5072917 2 18.8047 0.155418
58888.5079861 2 18.6477 0.174559
58885.548287 2 18.3843 0.0780519
58879.5428704 2 18.2075 0.118896
58876.5759028 2 18.1378 0.0764624
58873.5395602 2 18.0352 0.0733554
