ZTF19aayogzn 0.069650 Ia
58695.2085301 2 19.5729 0.152867
58692.1870833 2 19.2793 0.22814
58689.1781481 2 19.3546 0.149491
58682.2394213 2 19.0335 0.139004
58679.2184838 2 18.9896 0.114079
58676.2106481 2 19.0554 0.124946
58673.1947222 2 18.9202 0.087594
58670.178669 2 18.8232 0.111592
58667.2165394 2 18.5603 0.0649302
58663.199456 2 18.4646 0.0866097
58660.2241204 2 18.4088 0.0737885
58657.2675116 2 18.4315 0.0712065
58650.2348495 2 18.7994 0.105539
58647.240162 2 19.1766 0.118083
58644.2646644 2 19.8954 0.198228
