ZTF19aaurhox 0.070000 Ia
58684.1992245 1 20.9985 0.356443
58684.1973727 1 20.754 0.246423
58672.3125347 1 20.801 0.261461
58672.3120718 1 20.721 0.269004
58666.2493634 1 20.4373 0.162859
58660.2015509 1 20.1251 0.118835
58660.201088 1 20.0124 0.119834
58657.2438426 1 19.8585 0.17859
58657.2229745 1 19.8177 0.13651
58653.3043403 1 19.517 0.176312
58653.3029398 1 19.3294 0.159195
58650.2185764 1 19.3552 0.192654
58650.2181134 1 19.1469 0.158153
58647.3477778 1 19.057 0.143253
58647.2238079 1 19.0644 0.130329
58644.221412 1 18.7491 0.0953992
58644.2209491 1 18.7629 0.092843
58641.2441898 1 18.5171 0.0518961
58641.2283449 1 18.5009 0.0596975
58638.3418981 1 18.3568 0.064
58638.3404977 1 18.3222 0.0762369
58635.4232755 1 18.2099 0.0600451
58635.2201736 1 18.179 0.0615789
58632.3538079 1 18.122 0.0739199
58632.350544 1 18.0936 0.0458649
58619.2670833 1 18.8789 0.151774
58616.4501042 1 19.8731 0.151278
58616.4496412 1 19.9163 0.145179
