ZTF18aailmnv 0.080000 Ia
58347.2025694 1 19.6566 0.186265
58347.2021065 1 19.6608 0.169776
58344.166412 1 19.3167 0.129432
58344.1659491 1 19.2549 0.133754
58337.1753588 1 18.6384 0.10498
58336.2382176 1 18.5646 0.0848149
58333.1775579 1 18.4301 0.0678024
58331.2757292 1 18.4118 0.127812
58324.2803009 1 18.1829 0.102232
58320.1745255 1 18.4674 0.0939197
58319.2059838 1 18.7137 0.104188
58316.1768519 1 19.1115 0.137278
58315.1772454 1 19.345 0.132089
