ZTF19aaileug 0.062700 Ia
58597.239537 2 20.103 0.187848
58593.2652778 2 20.1225 0.292226
58584.1816551 2 19.8597 0.159846
58582.1987847 2 19.5859 0.111618
58580.2157986 2 19.4909 0.132602
58574.2112269 2 19.3932 0.291322
58572.2240972 2 19.085 0.137724
58567.2237616 2 18.8851 0.0705934
58560.3413542 2 18.7422 0.107055
58558.1945139 2 18.6871 0.102206
58557.2699421 2 18.7565 0.142088
58557.2473611 2 18.6771 0.0973519
58540.2271759 2 17.9552 0.0407473
58534.3725231 2 17.9228 0.131732
58534.3191088 2 17.9215 0.136536
