ZTF19acaiylt 0.070000 Ia
58794.5400231 2 19.7313 0.147628
58791.5063194 2 19.4879 0.134679
58791.4999537 2 19.4049 0.127123
58788.5385301 2 19.3413 0.14074
58776.5037847 2 19.0853 0.14715
58769.4658565 2 18.7361 0.0910172
58759.5089815 2 18.3969 0.0573558
58756.515081 2 18.4463 0.0753161
58748.4954514 2 19.1685 0.132119
58745.486956 2 19.9568 0.292424
