ZTF20aaupolv 0.050000 Ia
58980.2861343 2 17.6191 0.0531428
58977.2437384 2 17.5796 0.0598303
58976.2690394 2 17.5255 0.0498622
58974.2565162 2 17.4593 0.0484724
58971.1988194 2 17.3184 0.0430688
58971.1838542 2 17.3418 0.0517864
58968.3622685 2 17.2369 0.0495802
58965.2768519 2 17.1454 0.0462178
58962.2842708 2 17.0995 0.0482845
58954.2421875 2 17.133 0.034704
58944.3875579 2 18.4252 0.114224
