ZTF19abmpoxa 0.063000 Ia
58736.4396644 1 20.3971 0.304469
58733.4403241 1 20.0163 0.379284
58726.3976968 1 19.2624 0.164079
58723.3980556 1 18.8542 0.108224
58720.4227083 1 18.5688 0.088876
58717.3967824 1 18.3195 0.0925813
58708.4177662 1 18.0429 0.0766978
58705.3976042 1 18.2631 0.0656402
58701.4553241 1 18.8665 0.117068
58698.4581366 1 19.7027 0.149806
