ZTF20aavrukn 0.084000 Ia
58985.2059606 1 19.2441 0.0869655
58980.2217708 1 18.887 0.0739614
58979.2882292 1 18.8084 0.0982367
58977.336713 1 18.7876 0.138024
58974.2065856 1 18.5555 0.125675
58971.2732523 1 18.5409 0.0784137
58968.2966782 1 18.5677 0.0658649
58965.2548495 1 18.7021 0.0694348
58963.2901505 1 18.8605 0.0762385
58962.34 1 18.8984 0.11035
58955.3166782 1 20.2854 0.218377
