ZTF18acvrfvv 0.040000 Ia
58507.2216319 2 19.6173 0.165068
58503.1396296 2 19.0582 0.130857
58493.1380208 2 18.7298 0.0988878
58490.1747801 2 18.6627 0.0832855
58480.3054514 2 17.9954 0.0467379
58474.3043981 2 18.0943 0.0685523
58471.2115046 2 18.386 0.141602
58471.2080787 2 18.3772 0.0943651
58468.2759838 2 19.0043 0.087795
58465.2646181 2 20.0269 0.208368
