ZTF20aahbamv 0.045200 II
58981.1739931 1 19.2562 0.083143
58977.1542361 1 19.0721 0.130213
58971.2362037 1 19.1914 0.146956
58965.2046296 1 19.1471 0.0998615
58962.2059028 1 19.1543 0.097898
58944.1931366 1 19.1755 0.222758
58940.1853125 1 19.0073 0.0856902
58912.163669 1 18.573 0.063422
58909.2510069 1 18.4725 0.115097
58906.2761574 1 18.4266 0.072353
58903.2586806 1 18.2745 0.0509849
58899.2162384 1 18.0769 0.050767
58898.2399884 1 18.0459 0.055303
58896.2207292 1 17.9361 0.0582801
58896.2179514 1 17.9285 0.0562377
58895.2260185 1 17.9036 0.0455778
58894.2033333 1 17.8105 0.068048
58893.2294213 1 17.8105 0.0502592
58893.2158912 1 17.8028 0.044734
58892.1696296 1 17.761 0.0506474
58891.1979398 1 17.7283 0.0507013
58890.2631944 1 17.66 0.0711121
58890.2621875 1 17.7485 0.0788141
58886.2355903 1 17.4633 0.0593646
58886.2346875 1 17.475 0.0480909
58885.2680208 1 17.4987 0.0622116
58884.2919676 1 17.4023 0.0543864
58883.4053009 1 17.3877 0.046002
58883.4034954 1 17.4145 0.0465747
58881.2351968 1 17.386 0.0407033
58880.2672685 1 17.3679 0.0383107
58880.2560764 1 17.3525 0.0395653
58879.2550694 1 17.3342 0.0706228
58879.2178704 1 17.3475 0.0425099
58878.258287 1 17.3647 0.0582723
58877.246169 1 17.3794 0.062283
58877.2452546 1 17.3828 0.0407719
58876.2330903 1 17.4459 0.0367382
58876.2330903 1 17.4448 0.036249
58875.3309028 1 17.507 0.045029
58874.3501042 1 17.6123 0.0446398
58874.3488194 1 17.6442 0.0422412
58873.3541088 1 17.7963 0.0611641
58872.235463 1 18.09 0.0606602
58871.2266435 1 18.671 0.0834958
58871.2172917 1 18.6753 0.0798115
